BROKERREFERENCE,ENTRYNUMBER,IMPORTERNAME,IMPORTERID,LINENUMBER,HTS_NUMBER,HTS_DESCRIPTION,MANUFACTURERNAME,ENTRYDATE,ARRIVALDATE,DATEOFEXPORT,MODEOFTRANSPORT,ENTEREDVALUE,COUNTRYOFORIGIN,ADL1_HTS_NUMBER,ADL2_HTS_NUMBER,ADL3_HTS_NUMBER,ADL4_HTS_NUMBER,ADL5_HTS_NUMBER,ADL6_HTS_NUMBER,ADL7_HTS_NUMBER,ADL1_HTS_DESCRIPTION,ADL2_HTS_DESCRIPTION,ADL3_HTS_DESCRIPTION,ADL4_HTS_DESCRIPTION,ADL5_HTS_DESCRIPTION,ADL6_HTS_DESCRIPTION,ADL7_HTS_DESCRIPTION
2565426,02311601',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,SANGUAN WONGSE STARCH CO.  LTD.,6/04/2026,6/03/2026,4/12/2026,Vessel Container,68400,TH,3505100092,,,,,,,MOD STARCHES NOT FROM POTA,,,,,,
2615593,02312880',GRASS AMERICA INC,51-066023000,1,99038815,ARTICLE OF CHINA US NTE 20(R),GUANGDONG JUSEN PRECISION TECHNOLOGY CO,6/04/2026,5/27/2026,4/21/2026,Vessel Non-container,52560,CN,99030301,3926305000,,,,,,SECTION 122 - 10% DUTY,PLAST FITTINGS OTHER,,,,,
2615636,02316444',CB MANUFACTURING & SALES CO INC,34-101525000,1,99038803,ARTICLE OF CHINA US NTE 20(F),ZHUZHOU ROCKKING ENGINEERING MACHIN,6/04/2026,6/10/2026,5/04/2026,Vessel Non-container,13065.62,CN,99030301,8208200060,,,,,,SECTION 122 - 10% DUTY,KNV/BLDS WD-CHPPER MACH L>15.2,,,,,
2615646,02316634',FREEMAN MANUFACTURING & SUPPLY INC,34-423771000,1,99030301,SECTION 122 - 10% DUTY,DMG GUSTKE GMBH,6/04/2026,5/31/2026,5/06/2026,Vessel Non-container,5034,DE,8310000000,,,,,,,SIGN PLATES  NAME PLATES  ETC.,,,,,,
2615646,02316634',FREEMAN MANUFACTURING & SUPPLY INC,34-423771000,2,99030301,SECTION 122 - 10% DUTY,DMG GUSTKE GMBH,6/04/2026,5/31/2026,5/06/2026,Vessel Non-container,20336.79,DE,3921135000,,,,,,,OTH POLYURETHANE COMBO'S N,,,,,,
2615646,02316634',FREEMAN MANUFACTURING & SUPPLY INC,34-423771000,3,99030306,S122 EXCL IRN/STL/ALUM DERIV,DMG GUSTKE GMBH,6/04/2026,5/31/2026,5/06/2026,Vessel Non-container,1050,TW,99038202,7318160085,,,,,,ALU  STL  COP DER ALU  DER STL,NUTS IRON OR STEEL THRD OTHER,,,,,
2615646,02316634',FREEMAN MANUFACTURING & SUPPLY INC,34-423771000,4,99030301,SECTION 122 - 10% DUTY,DMG GUSTKE GMBH,6/04/2026,5/31/2026,5/06/2026,Vessel Non-container,350,DE,3926909989,,,,,,,OTH.PLSTIC MAT OTH OTH OTH,,,,,,
2615646,02316634',FREEMAN MANUFACTURING & SUPPLY INC,34-423771000,5,99030301,SECTION 122 - 10% DUTY,DMG GUSTKE GMBH,6/04/2026,5/31/2026,5/06/2026,Vessel Non-container,176,DE,4811413000,,,,,,,GUMMED PAPER OTHER,,,,,,
2615654-1,02316691',CB MANUFACTURING & SALES CO INC,34-101525000,1,99038803,ARTICLE OF CHINA US NTE 20(F),NANJING MILSEN OLTD,6/04/2026,6/10/2026,5/02/2026,Vessel Non-container,15142.32,CN,99030306,99038209,8211930060,,,,,S122 EXCL IRN/STL/ALUM DERIV,COP  DER ALU & STL  NT16(C)(VI,KNIVES OTH  W/OTH THAN FIX BLD,,,,
2615654-2,02316709',CB MANUFACTURING & SALES CO INC,34-101525000,1,99038803,ARTICLE OF CHINA US NTE 20(F),NANJING MILSEN OLTD,6/04/2026,6/10/2026,5/02/2026,Vessel Non-container,3249.22,CN,99030301,8208906000,,,,,,SECTION 122 - 10% DUTY,KNV/CUT BLDS FOR MACH AND PTS,,,,,
2565836,02317608',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,,TAT NISASTA INS SAN TIC AS,6/04/2026,6/05/2026,5/09/2026,Vessel Container,10125,TR,1108120010,,,,,,,CORN (MAIZE) STARCH F/FOOD,,,,,,
4539324,02319976',VAN VAN LLC,92-316874700,1,99030303,S122 -EXCLUSION-EXEMPTED PRDTS,VIET NAM CUONG THINH LIMITED LIABILITY COMPANY,6/04/2026,6/01/2026,6/01/2026,Air Non-container,985,VN,0904110020,,,,,,,BLCK PEPPER NOT CRSHD NOR,,,,,,
4539324,02319976',VAN VAN LLC,92-316874700,2,99030301,SECTION 122 - 10% DUTY,VIET NAM CUONG THINH LIMITED LIABILITY COMPANY,6/04/2026,6/01/2026,6/01/2026,Air Non-container,365.36,VN,0712908580,,,,,,,OTHER; OTHER VEGETABLES,,,,,,
4539324,02319976',VAN VAN LLC,92-316874700,3,99030303,S122 -EXCLUSION-EXEMPTED PRDTS,VIET NAM CUONG THINH LIMITED LIABILITY COMPANY,6/04/2026,6/01/2026,6/01/2026,Air Non-container,320,VN,0904216090,,,,,,,OTHER CAPSICUM FRUITS/UNGR,,,,,,
4539324,02319976',VAN VAN LLC,92-316874700,4,99030301,SECTION 122 - 10% DUTY,VIET NAM CUONG THINH LIMITED LIABILITY COMPANY,6/04/2026,6/01/2026,6/01/2026,Air Non-container,75,VN,0712904040,,,,,,,GARLIC; OTHER,,,,,,
2566048,02319562',EISENMANN OF SOUTH CAROLINA INC,86-240963300,1,99030301,SECTION 122 - 10% DUTY,EISENMANN GMBH,6/04/2026,6/04/2026,5/22/2026,Vessel Container,464085.19,DE,99038201,8424909080,,,,,,DOES NOT CONT ANY ALU  STL CPP,MECH APP FOR PROJ ETC  PTS,,,,,
2565866,02321204',BARLINEK USA CORP,38-411880600,1,99030301,SECTION 122 - 10% DUTY,BARLINEK S.A.,6/04/2026,5/31/2026,5/09/2026,Vessel Container,3712.08,PL,4412523105,,,,,,,OTHER PLYWOOD  WOOD FLOORI,,,,,,
2565866,02321204',BARLINEK USA CORP,38-411880600,1,99030301,SECTION 122 - 10% DUTY,BARLINEK S.A.,6/04/2026,5/31/2026,5/09/2026,Vessel Container,43278.71,PL,4412523105,,,,,,,OTHER PLYWOOD  WOOD FLOORI,,,,,,
2565866,02321204',BARLINEK USA CORP,38-411880600,1,98110060,SAMPLE<=$1EA/UNSUITBL FOR,BARLINEK S.A.,6/04/2026,5/31/2026,5/09/2026,Vessel Container,159.6,PL,,,,,,,,,,,,,,
2565866,02321204',BARLINEK USA CORP,38-411880600,1,99030301,SECTION 122 - 10% DUTY,BARLINEK S.A.,6/04/2026,5/31/2026,5/09/2026,Vessel Container,5388.04,PL,4412523105,,,,,,,OTHER PLYWOOD  WOOD FLOORI,,,,,,
2565866,02321204',BARLINEK USA CORP,38-411880600,1,99030301,SECTION 122 - 10% DUTY,BARLINEK S.A.,6/04/2026,5/31/2026,5/09/2026,Vessel Container,55621.78,PL,4412523105,,,,,,,OTHER PLYWOOD  WOOD FLOORI,,,,,,
2566143,02321212',CNF WHOLESALE LLC,85-384323500,1,99030301,SECTION 122 - 10% DUTY,XINHONGHAI ENVIRONMENTAL PROTECTION TECHNOLOGY CO LTD,6/04/2026,5/30/2026,5/01/2026,Vessel Container,1635.75,CN,3924104000,,,,,,,PLASTIC TABLE/KITCHENWARE,,,,,,
2566143,02321212',CNF WHOLESALE LLC,85-384323500,2,99038803,ARTICLE OF CHINA US NTE 20(F),XINHONGHAI ENVIRONMENTAL PROTECTION TECHNOLOGY CO LTD,6/04/2026,5/30/2026,5/01/2026,Vessel Container,1458,CN,99030301,3923300090,,,,,,SECTION 122 - 10% DUTY,PLASTICS CARBOYS BOTTLES O,,,,,
2566143,02321212',CNF WHOLESALE LLC,85-384323500,3,99038803,ARTICLE OF CHINA US NTE 20(F),XINHONGHAI ENVIRONMENTAL PROTECTION TECHNOLOGY CO LTD,6/04/2026,5/30/2026,5/01/2026,Vessel Container,420,CN,99030301,4015191110,,,,,,SECTION 122 - 10% DUTY,SEAMLESS OTH GLOV MITTENS&,,,,,
